mouse_lhb_region,mouse_gene,avg_log_expr,pct_expr,logFC_vs_other_lhb_regions
Hbx,Cables1,0.34900436,0.19337939,0.2336491
Hbx,Ubl5,0.5572881,0.26480797,0.23332694
Hbx,Scn3a,0.76632845,0.37892103,0.2329619
Hbx,Akap8l,0.7142615,0.3588859,0.23289925
Hbx,Pds5b,0.5006391,0.27613217,0.23283541
Hbx,Pbx4,0.32786736,0.19773477,0.23238653
Hbx,Dgkb,0.8938276,0.39547178,0.2322135
Hbx,Tspyl4,0.5967635,0.28135872,0.230854
Hbx,Ndufa13,0.8508617,0.36411247,0.23061967
Hbx,Fau,1.4256817,0.5435559,0.23046958
Hbx,Eef1a1,1.5900702,0.6132409,0.2301749
Hbx,Hspe1,0.5622007,0.25871032,0.2298325
Hbx,Ndufb4,0.53423536,0.25522596,0.22909346
Hbx,Cox5a,0.61580074,0.2735189,0.2282758
Hbx,Araf,0.6584381,0.33275315,0.22743177
Hbx,Ube3a,1.2144822,0.5156819,0.2270965
Hbx,Stmn2,0.7446881,0.33536643,0.22672856
Hbx,Atp5o-1,0.5649513,0.26655015,0.22627643
Hbx,Pnmal2,0.6059404,0.29094073,0.22587469
Hbx,Sumo2,0.5781688,0.27438998,0.22516719
Hbx,4930555F03Rik,0.41381633,0.21341416,0.22500324
Hbx,Kcnk13,0.2598252,0.13763045,0.2242646
Hbx,Tanc2,1.134435,0.49042082,0.22361791
Hbx,Nedd8,0.49103096,0.23344894,0.22360837
Hbx,Ptges3,0.5027096,0.25783923,0.22354808
Hbx,Atp5g3,0.64414006,0.28919855,0.2232705
Hbx,Trpc4,0.3520185,0.18815292,0.22306074
Hbx,Cox4i1,1.4358358,0.54704016,0.22279036
Hbx,Tceal3,0.39434934,0.20121908,0.22211048
Hbx,Calm2,1.027497,0.42247564,0.2216022
Hbx,Ptprq,0.29837424,0.166376,0.22098514
Hbx,Pam,1.399542,0.5714299,0.2208767
Hbx,Srsf5,0.7365008,0.3710812,0.22076553
Hbx,Nyap2,0.61600477,0.3170735,0.22058207
Hbx,Pknox2,0.3860559,0.21254309,0.21982488
Hbx,Ldhb,0.67116624,0.3048782,0.21955466
Hbx,Ndufab1,0.5156636,0.23954648,0.21877205
Hbx,Uqcr10,0.61382765,0.27700326,0.21811363
Hbx,Cbx3,0.49743822,0.24912833,0.21807045
Hbx,Atp6v1e1,0.5212414,0.2517416,0.2178641
Hbx,Nap1l5,0.73236954,0.29965165,0.21781576
Hbx,H2afz,0.54003453,0.25696814,0.21778041
Hbx,Ndufc2,0.63022405,0.27874544,0.21705955
Hbx,Lsamp,3.6148279,0.92333907,0.21700788
Hbx,Map1b,1.6011689,0.63763064,0.21666574
Hbx,Snrpn,0.81294054,0.37543666,0.2162013
Hbx,Uqcr11,0.63244367,0.28048763,0.21618971
Hbx,Atp5g2,0.54805356,0.26567906,0.21516928
Hbx,Gm20388,0.7219899,0.34581953,0.2145527
Hbx,Pcca,0.62974566,0.32404223,0.21436486
Hbx,Hopx,0.33595318,0.17682892,0.21422875
Hbx,Gnas,1.2801111,0.53571635,0.21384847
Hbx,Atp5l,0.73153824,0.32055786,0.21366203
Hbx,Etv1,0.6188792,0.3048782,0.21314183
Hbx,Dclk1,1.0604011,0.4712568,0.21200544
Hbx,Tmx4,0.8521827,0.38501868,0.21197647
Hbx,Tagln3,0.43902552,0.21776955,0.21177578
Hbx,H3f3a,0.58102804,0.283972,0.21160167
Hbx,Uqcrb,0.5402552,0.24912833,0.21128595
Hbx,Ndufa7,0.5256816,0.2499994,0.21123749
Hbx,Pebp1,0.61481094,0.2848431,0.21058106
Hbx,Casz1,0.30119658,0.17944215,0.20991883
Hbx,Pgam1,0.47497755,0.23693325,0.20975643
Hbx,Clasp2,0.87356275,0.4268311,0.20962554
Hbx,Phactr2,0.38415205,0.21776955,0.2091656
Hbx,Mif,0.52743375,0.24738617,0.20833215
Hbx,Chsy3,0.39735088,0.18989508,0.20816731
Hbx,Impact,0.5856686,0.28745636,0.20734957
Hbx,Kcnh7,1.1420482,0.4468662,0.20688725
Hbx,Ap3s1,0.5252952,0.28571418,0.20634949
Hbx,Astn2,0.73216385,0.34407735,0.20630306
Hbx,Hspa1a,0.32134745,0.15766522,0.20614168
Hbx,Ano1,0.34209952,0.17160246,0.20611444
Hbx,Tesc,0.426405,0.22909355,0.2058567
Hbx,Cnnm2,0.5522957,0.2831009,0.20552236
Hbx,Tnrc6c,0.82133836,0.39547178,0.20543718
Hbx,Ndufa5,0.5894888,0.2709056,0.2043303
Hbx,Cirbp,0.36123252,0.19337939,0.20403214
Hbx,Nbeal1,0.5680722,0.3040071,0.2036795
Hbx,Gm13373,0.23567337,0.14372799,0.20366895
Hbx,Smdt1,0.52685255,0.25522596,0.20354259
Hbx,Nptx2,0.37718672,0.20905878,0.20323248
Hbx,Dnmt3a,0.693632,0.35191718,0.202936
Hbx,Tmem130,0.80834913,0.37804994,0.20290005
Hbx,Nme1,0.45891148,0.22125386,0.20200536
Hbx,Actg1,0.6984308,0.31184694,0.2017206
Hbx,Atp5g1,0.5596851,0.25609705,0.201527
Hbx,Csnk1a1,0.6901659,0.35191718,0.20143151
Hbx,Ndufb11,0.527787,0.2465151,0.1996603
Hbx,Chd5,0.5483394,0.29006964,0.19920549
Hbx,Btbd3,0.41414914,0.22648032,0.19901763
Hbx,1810041L15Rik,0.47851592,0.2621947,0.1984736
Hbx,Prrc2c,0.7169481,0.36933902,0.19807237
Hbx,Atp6v0b,0.80955887,0.3728234,0.19795913
Hbx,Maoa,0.3284326,0.19599262,0.19783527
Hbx,Zcchc11,0.57603693,0.30749148,0.19676685
Hbx,Ptchd1,0.28836814,0.16724707,0.19655615
Hbx,Srp14,0.42828095,0.21864063,0.19628005
Hbx,Gnb1,0.6450761,0.32491332,0.1962423
Hbx,Tuba1a,0.7745803,0.34581953,0.19600677
Hbx,Nedd4,0.7722349,0.37543666,0.19576299
Hbx,Timm13,0.40312064,0.20470339,0.19535315
Hbx,Tom1l2,0.54574245,0.29616728,0.19518816
Hbx,Akr1a1,0.38808185,0.2081877,0.19516768
Hbx,Hmgn3,0.38644564,0.22038278,0.19492868
Hbx,Timm8b,0.38831308,0.19599262,0.19465095
Hbx,Eid1,0.57391393,0.2717767,0.19457334
Hbx,Ddx24,0.4977273,0.2508705,0.19426727
Hbx,Id4,0.3152678,0.16898923,0.19405451
Hbx,Ranbp17,0.39168927,0.21689847,0.19392131
Hbx,Tenm3,1.0010463,0.43467093,0.19363213
Hbx,Chst10,0.30803144,0.18989508,0.19353592
Hbx,Cacybp,0.41929168,0.21254309,0.19346294
Hbx,Tubb2a,0.49200693,0.23344894,0.1930933
Hbx,Hpcal1,0.28427285,0.17508677,0.19289254
Hbx,Map2,1.2322081,0.54268485,0.1925472
Hbx,Ywhaq,0.59198654,0.28745636,0.19169453
Hbx,Chd3,0.52275705,0.26567906,0.19152045
Hbx,Edf1,0.40178347,0.20296124,0.19107224
Hbx,Gprasp2,0.48957402,0.25871032,0.19091567
Hbx,Tbca,0.39684486,0.20731662,0.19044894
Hbx,BC031181,0.4159902,0.2195117,0.19031751
Hbx,Cdh7,0.39049974,0.20905878,0.18992423
Hbx,Ints3,0.35863644,0.20470339,0.18989584
Hbx,Fgf12,1.4939176,0.5827537,0.18974745
Hbx,Atp5d,0.5486355,0.2604525,0.18967003
Hbx,Scn9a,0.435881,0.24041755,0.18966971
Hbx,Pfdn1,0.3767831,0.20209016,0.18924393
Hbx,Ablim1,0.615506,0.30749148,0.18914688
Hbx,Nxph1,0.7854981,0.3493039,0.1891343
Hbx,Tmem163,0.7321622,0.35714373,0.18909746
Hbx,Man1a,0.3368019,0.18031323,0.18881124
Hbx,St5,0.27709067,0.17073138,0.18865344
Hbx,Mrps33,0.37964547,0.19773477,0.18859845
Hbx,Epb41l4a,0.26655167,0.16289169,0.18855616
Hbx,Ppa1,0.3023846,0.16376276,0.18849714
Hbx,Rapgef6,0.56262887,0.29268292,0.18829334
Hbx,Gucy1a1,0.38106662,0.20992985,0.1882835
Hbx,Plcl1,0.8807523,0.40069833,0.18818647
Hbx,Smc6,0.418703,0.23519109,0.18776442
Hbx,Rere,0.9341253,0.43467093,0.18749106
Hbx,Atp5f1,0.5548432,0.2604525,0.18730378
Hbx,Ndufc1,0.5409408,0.25522596,0.18698967
Hbx,Tpi1,0.45879984,0.22822247,0.18664813
