compartment,mouse_region,mouse_gene,gene_upper,mean_log_expr,pct_expr,mouse_logFC_vs_other_regions,excluded_gene
LHb,Lateral,Slc43a2,SLC43A2,0.041369967,0.025490196,-0.04198987,False
LHb,Lateral,Slc43a3,SLC43A3,0.020431768,0.010784314,-0.001296686,False
LHb,Lateral,Slc44a1,SLC44A1,0.31092238,0.16862746,0.069554,False
LHb,Lateral,Slc44a2,SLC44A2,0.059498347,0.038235296,-0.0114868805,False
LHb,Lateral,Slc44a3,SLC44A3,0.0011475045,0.0009803922,0.00025988132,False
LHb,Lateral,Slc44a4,SLC44A4,0.0,0.0,-0.0006468597,False
LHb,Lateral,Slc44a5,SLC44A5,0.19288792,0.10784314,0.03861475,False
LHb,Lateral,Slc45a1,SLC45A1,0.07578037,0.05,-0.016951345,False
LHb,Lateral,Slc45a3,SLC45A3,0.001888432,0.0009803922,0.0008551581,False
LHb,Lateral,Slc45a4,SLC45A4,0.052933093,0.033333335,-0.0053952634,False
LHb,Lateral,Slc46a1,SLC46A1,0.0062012416,0.004901961,-0.0055983053,False
LHb,Lateral,Slc46a2,SLC46A2,0.0051678335,0.0029411768,0.003061115,False
LHb,Lateral,Slc46a3,SLC46A3,0.022165239,0.014705882,0.00505344,False
LHb,Lateral,Slc47a1,SLC47A1,0.00081494637,0.0009803922,-0.0013628197,False
LHb,Lateral,Slc48a1,SLC48A1,0.084744304,0.047058824,-0.013437837,False
LHb,Lateral,Slc49a4,SLC49A4,0.0,0.0,-0.006295288,False
LHb,Lateral,Slc4a10,SLC4A10,0.5877736,0.28921628,-0.015323341,False
LHb,Lateral,Slc4a11,SLC4A11,0.0,0.0,-0.0014809428,False
LHb,Lateral,Slc4a1ap,SLC4A1AP,0.12255037,0.0754902,0.05099356,False
LHb,Lateral,Slc4a2,SLC4A2,0.03468661,0.018627452,-0.00581906,False
LHb,Lateral,Slc4a3,SLC4A3,0.3548199,0.18235295,0.07761574,False
LHb,Lateral,Slc4a4,SLC4A4,0.25181422,0.120588236,-0.16332129,False
LHb,Lateral,Slc4a5,SLC4A5,0.0038038173,0.0019607844,0.00047963182,False
LHb,Lateral,Slc4a7,SLC4A7,0.14000891,0.08039216,-0.038630188,False
LHb,Lateral,Slc4a8,SLC4A8,0.14503126,0.09019608,-0.013596281,False
LHb,Lateral,Slc50a1,SLC50A1,0.08608592,0.051960785,0.007326849,False
LHb,Lateral,Slc51a,SLC51A,0.0016922968,0.0009803922,0.0005995212,False
LHb,Lateral,Slc51b,SLC51B,0.0,0.0,0.0,False
LHb,Lateral,Slc52a2,SLC52A2,0.0062678815,0.004901961,-0.0080382135,False
LHb,Lateral,Slc52a3,SLC52A3,0.0,0.0,-0.0008504788,False
LHb,Lateral,Slc5a10,SLC5A10,0.0032160357,0.0019607844,0.0019580035,False
LHb,Lateral,Slc5a11,SLC5A11,0.007508437,0.004901961,-0.0025266781,False
LHb,Lateral,Slc5a12,SLC5A12,0.0004480049,0.0009803922,-0.00015996446,False
LHb,Lateral,Slc5a3,SLC5A3,0.08316642,0.05392157,-0.008086398,False
LHb,Lateral,Slc5a4b,SLC5A4B,0.0,0.0,-0.001226137,False
LHb,Lateral,Slc5a5,SLC5A5,0.012790171,0.007843138,-0.001500682,False
LHb,Lateral,Slc5a6,SLC5A6,0.047009923,0.028431373,0.007471688,False
LHb,Lateral,Slc5a7,SLC5A7,0.078728326,0.04019608,-0.03466162,False
LHb,Lateral,Slc5a8,SLC5A8,0.0,0.0,-0.0004914504,False
LHb,Lateral,Slc6a1,SLC6A1,0.07168653,0.03529412,-0.06889159,False
LHb,Lateral,Slc6a11,SLC6A11,0.1226938,0.057843138,-0.0106928125,False
LHb,Lateral,Slc6a12,SLC6A12,0.0,0.0,-0.00048504278,False
LHb,Lateral,Slc6a13,SLC6A13,0.0,0.0,-0.0029879159,False
LHb,Lateral,Slc6a15,SLC6A15,0.22816588,0.1264706,0.08510345,False
LHb,Lateral,Slc6a16,SLC6A16,0.03454196,0.023529412,0.014172897,False
LHb,Lateral,Slc6a17,SLC6A17,0.39807865,0.21470588,0.018131047,False
LHb,Lateral,Slc6a19,SLC6A19,0.0,0.0,-0.0006468918,False
LHb,Lateral,Slc6a20a,SLC6A20A,0.014343615,0.007843138,0.007902153,False
LHb,Lateral,Slc6a20b,SLC6A20B,0.016729062,0.011764706,0.005629453,False
LHb,Lateral,Slc6a3,SLC6A3,0.0,0.0,-0.003855706,False
LHb,Lateral,Slc6a6,SLC6A6,0.2900408,0.15882353,0.026152134,False
LHb,Lateral,Slc6a7,SLC6A7,0.13489474,0.07941177,-0.008929968,False
LHb,Lateral,Slc6a8,SLC6A8,0.069407545,0.04117647,0.002540566,False
LHb,Lateral,Slc6a9,SLC6A9,0.051604975,0.030392157,-0.0056825653,False
LHb,Lateral,Slc7a1,SLC7A1,0.09433432,0.05980392,0.016703278,False
LHb,Lateral,Slc7a10,SLC7A10,0.020971596,0.010784314,-0.00082126446,False
LHb,Lateral,Slc7a11,SLC7A11,0.063597314,0.029411765,0.017581705,False
LHb,Lateral,Slc7a14,SLC7A14,0.11313788,0.0627451,-0.11501994,False
LHb,Lateral,Slc7a15,SLC7A15,0.0024148028,0.0009803922,-0.0013780175,False
LHb,Lateral,Slc7a2,SLC7A2,0.007727462,0.003921569,-0.0015062923,False
LHb,Lateral,Slc7a3,SLC7A3,0.0067465953,0.003921569,-0.02407658,False
LHb,Lateral,Slc7a4,SLC7A4,0.047390535,0.030392157,-0.01224497,False
LHb,Lateral,Slc7a5,SLC7A5,0.021489628,0.012745098,-0.0019207038,False
LHb,Lateral,Slc7a6,SLC7A6,0.12929183,0.078431375,0.04208968,False
LHb,Lateral,Slc7a6os,SLC7A6OS,0.059150353,0.034313727,0.018563706,False
LHb,Lateral,Slc7a7,SLC7A7,0.0015392107,0.0009803922,-0.0015872897,False
LHb,Lateral,Slc7a8,SLC7A8,0.0702986,0.04509804,-0.043949403,False
LHb,Lateral,Slc8a1,SLC8A1,1.2941418,0.50000376,0.4415267,False
LHb,Lateral,Slc8a2,SLC8A2,0.058805317,0.04117647,-0.035167657,False
LHb,Lateral,Slc8a3,SLC8A3,0.44819874,0.22647059,0.09139642,False
LHb,Lateral,Slc8b1,SLC8B1,0.011333299,0.005882353,0.004528231,False
LHb,Lateral,Slc9a1,SLC9A1,0.11380031,0.06666667,0.021820486,False
LHb,Lateral,Slc9a2,SLC9A2,0.0016538396,0.0019607844,-0.002158148,False
LHb,Lateral,Slc9a3,SLC9A3,0.0017607239,0.0009803922,0.0001989064,False
LHb,Lateral,Slc9a3r1,SLC9A3R1,0.03328846,0.01764706,0.006723959,False
LHb,Lateral,Slc9a3r2,SLC9A3R2,0.051467,0.033333335,0.0045240633,False
LHb,Lateral,Slc9a5,SLC9A5,0.06542452,0.038235296,0.007597942,False
LHb,Lateral,Slc9a6,SLC9A6,0.1348132,0.07647059,-0.0052657872,False
LHb,Lateral,Slc9a7,SLC9A7,0.21661413,0.1264706,0.044390634,False
LHb,Lateral,Slc9a8,SLC9A8,0.092761666,0.052941177,-0.0046408623,False
LHb,Lateral,Slc9a9,SLC9A9,0.3950732,0.20392157,0.19370647,False
LHb,Lateral,Slc9b1,SLC9B1,0.0024372623,0.0009803922,-0.0015271064,False
LHb,Lateral,Slc9b2,SLC9B2,0.0044651106,0.0019607844,-0.013567075,False
LHb,Lateral,Slco1a4,SLCO1A4,0.018157644,0.00882353,-0.010864161,False
LHb,Lateral,Slco1a5,SLCO1A5,0.0,0.0,-0.00061357283,False
LHb,Lateral,Slco1a6,SLCO1A6,0.0,0.0,0.0,False
LHb,Lateral,Slco1b2,SLCO1B2,0.0010385134,0.0009803922,0.00036573038,False
LHb,Lateral,Slco1c1,SLCO1C1,0.022417875,0.010784314,-0.0046086255,False
LHb,Lateral,Slco2a1,SLCO2A1,0.0035056374,0.0029411768,-0.00952597,False
LHb,Lateral,Slco2b1,SLCO2B1,0.014072296,0.006862745,0.005807765,False
LHb,Lateral,Slco3a1,SLCO3A1,0.13635463,0.083333336,-0.049083903,False
LHb,Lateral,Slco4a1,SLCO4A1,0.0019070832,0.0009803922,-0.0049621263,False
LHb,Lateral,Slco4c1,SLCO4C1,0.010549534,0.006862745,-0.008847982,False
LHb,Lateral,Slco5a1,SLCO5A1,0.016924508,0.011764706,0.0036032647,False
LHb,Lateral,Slf1,SLF1,0.2550814,0.14215687,0.028870419,False
LHb,Lateral,Slf2,SLF2,0.30318716,0.16960785,0.08867048,False
LHb,Lateral,Slfn2,SLFN2,0.0,0.0,-0.003954184,False
LHb,Lateral,Slfn3,SLFN3,0.0,0.0,-0.00063243153,False
LHb,Lateral,Slfn5,SLFN5,0.0014086212,0.0009803922,-0.005008151,False
LHb,Lateral,Slfn5os,SLFN5OS,0.0,0.0,-0.0002092707,False
LHb,Lateral,Slfn8,SLFN8,0.0040831105,0.0019607844,0.0028313631,False
LHb,Lateral,Slfn9,SLFN9,0.0,0.0,-0.00019477027,False
LHb,Lateral,Slirp,SLIRP,0.14394115,0.08137255,0.0323062,False
LHb,Lateral,Slit1,SLIT1,0.07362098,0.039215688,-0.10129774,False
LHb,Lateral,Slit2,SLIT2,1.0497711,0.4460814,0.400514,False
