mouse_gene,scores,logFC_vs_other_region,pvals,pvals_adj,pct_nz_group,pct_nz_reference,region,mouse_gene_upper,is_region_marker
Fancl,3.2135928,0.45484093,0.0013108546553785854,0.004519947569974124,0.05478395061728395,0.0327636246372138,MHb,FANCL,True
Rpap2,3.212095,0.40644386,0.0013177083327566307,0.004540675816433426,0.049172278338945004,0.027152531441470493,MHb,RPAP2,True
Ppp4c,3.2109132,0.5509682,0.0013231391984961012,0.00455647786580252,0.041877104377104374,0.020058045791680103,MHb,PPP4C,True
Atf5,3.2102008,0.7562302,0.001326423205655157,0.004566814676771427,0.03514309764309764,0.013415027410512738,MHb,ATF5,True
Pms1,3.2100873,0.5464927,0.0013269468501910869,0.0045676453079039865,0.04910213243546577,0.027217026765559496,MHb,PMS1,True
Tes,3.2085598,1.4970636,0.0013340159484445,0.0045890489081432985,0.030653759820426486,0.009093840696549501,MHb,TES,True
Tmem241,3.2081459,0.25907522,0.001335937642876738,0.004593705649135042,0.06320145903479236,0.040825540148339244,MHb,TMEM241,True
Pdk2,3.207769,0.4624082,0.0013376891380180258,0.004598750649828176,0.04776936026936027,0.02586262495969042,MHb,PDK2,True
Mak16,3.2055311,0.47149098,0.00134813511635502,0.00463269290568142,0.0444023569023569,0.022573363431151242,MHb,MAK16,True
Rpgrip1,3.2044182,0.6679248,0.0013533577048865568,0.004649651842935441,0.04868125701459035,0.027023540793292486,MHb,RPGRIP1,True
Phlda1,3.2009208,0.5552983,0.0013698919249481758,0.004701464435823624,0.04110549943883277,0.019348597226701063,MHb,PHLDA1,True
Rtca,3.1989813,0.26882017,0.0013791410414946649,0.004732064132162515,0.05590628507295174,0.03379554982263786,MHb,RTCA,True
Commd9,3.1988132,0.46256104,0.0013799456391962717,0.004732956046225549,0.042999438832772165,0.021218961625282168,MHb,COMMD9,True
Asb1,3.1982505,0.55240947,0.0013826404731375058,0.004740188565705628,0.042017396184062854,0.020251531763947114,MHb,ASB1,True
Akt1s1,3.197164,0.34520707,0.0013878594866000781,0.004756065083846666,0.04882154882154882,0.02689455014511448,MHb,AKT1S1,True
Gpatch11,3.1954172,0.27946705,0.0013962888779421002,0.004783938275940155,0.05408249158249158,0.032054176072234764,MHb,GPATCH11,True
Ift46,3.191876,0.3818859,0.0014135207683992723,0.00483683063864147,0.049663299663299666,0.02779748468236053,MHb,IFT46,True
Orai1,3.189293,0.82643384,0.0014262132281451264,0.0048771668002637256,0.03303872053872054,0.011480167687842631,MHb,ORAI1,True
Tomm34,3.187883,0.29152375,0.001433186067885894,0.004897442263582583,0.05794051627384961,0.03592389551757497,MHb,TOMM34,True
Cpsf2,3.1862864,0.29365724,0.0014411185278610922,0.004922933936251989,0.05310044893378227,0.031151241534988713,MHb,CPSF2,True
Trmt2b,3.1835759,0.39113098,0.0014546803590299105,0.004966115408887464,0.05352132435465769,0.03166720412770074,MHb,TRMT2B,True
Tshz1,3.1816964,0.43143567,0.0014641520349719,0.004996341596133012,0.05190796857463524,0.030119316349564655,MHb,TSHZ1,True
Tnip1,3.1804736,0.7325067,0.001470346092397291,0.005016420173913981,0.039141414141414144,0.017607223476297968,MHb,TNIP1,True
Pigx,3.1767924,0.3228878,0.001489135848791446,0.005075250246248622,0.04980359147025814,0.02799097065462754,MHb,PIGX,True
Stradb,3.176735,0.28028664,0.0014894305902949086,0.005075250246248622,0.05401234567901234,0.032054176072234764,MHb,STRADB,True
Crnkl1,3.1767268,0.4810945,0.0014894722051896265,0.005075250246248622,0.043560606060606064,0.021928410190261205,MHb,CRNKL1,True
Mospd1,3.1704447,0.8481959,0.0015220584363275897,0.005178648550189054,0.034511784511784514,0.01309255079006772,MHb,MOSPD1,True
Seh1l,3.1692371,0.54281,0.001528396123119412,0.005199118252672238,0.044121773288439955,0.022573363431151242,MHb,SEH1L,True
Ankrd50,3.1681607,0.8312082,0.0015340666481351755,0.0052173103518895,0.03689674523007856,0.015478877781360851,MHb,ANKRD50,True
Wdr19,3.1656365,0.3766531,0.0015474403591998636,0.005260581717120176,0.053170594837261505,0.03140922283134473,MHb,WDR19,True
Ankrd34a,3.1619325,0.9942874,0.0015672588890138946,0.00532124528333328,0.03324915824915825,0.011931634956465657,MHb,ANKRD34A,True
Abhd11,3.1607318,0.39082214,0.001573733188761179,0.005340984961857337,0.04636644219977553,0.02476620445017736,MHb,ABHD11,True
Fam163a,3.1581664,0.9674096,0.0015876492316335728,0.005383695245633762,0.04054433221099888,0.01928410190261206,MHb,FAM163A,True
Rbm34,3.1558185,0.27958915,0.0016004849632071001,0.005421538069083737,0.05043490460157127,0.028700419219606577,MHb,RBM34,True
Med7,3.1557434,0.5099105,0.001600896301103879,0.005421795994630495,0.04061447811447812,0.019155111254434053,MHb,MED7,True
Polr1c,3.1533089,0.4036099,0.001614308538983738,0.005464931062800745,0.04292929292929293,0.021412447597549178,MHb,POLR1C,True
