mouse_gene,scores,logFC_vs_other_region,pvals,pvals_adj,pct_nz_group,pct_nz_reference,region,mouse_gene_upper,is_region_marker
Cnp,-2.507858,-0.046274368,0.012146546026324992,0.03437200524419293,0.10145114479200258,0.12037037037037036,LHb,CNP,False
Armcx5,-2.5097785,-0.21888866,0.012080688811093332,0.03419162581267448,0.023347307320219283,0.04054433221099888,LHb,ARMCX5,False
Sugct,-2.509871,-0.7122671,0.012077524369500563,0.03418865185101008,0.01676878426314092,0.033740179573512906,LHb,SUGCT,False
Nelfcd,-2.5121334,-0.33987567,0.012000373972487348,0.033982151436446575,0.020058045791680103,0.03717732884399551,LHb,NELFCD,False
Tnfaip8,-2.5121617,-0.79296494,0.011999409493206858,0.033982151436446575,0.012125120928732667,0.029110549943883277,LHb,TNFAIP8,False
Tmem38a,-2.5130348,0.0052680895,0.011969750911388088,0.03390730665353806,0.05746533376330216,0.07575757575757576,LHb,TMEM38A,False
Mfn1,-2.5132563,0.01913738,0.011962237653135699,0.03389195901899981,0.09945178974524346,0.11952861952861953,LHb,MFN1,False
Scyl2,-2.514388,-0.20533934,0.011923911963092738,0.033789291521202705,0.04011609158336021,0.057589786756453425,LHb,SCYL2,False
Pggt1b,-2.5144036,-0.37599212,0.01192338677204143,0.033789291521202705,0.027926475330538537,0.04510381593714927,LHb,PGGT1B,False
Alkbh3,-2.514794,-0.32114983,0.01191019522495299,0.03376225162348661,0.02528216704288939,0.04250841750841751,LHb,ALKBH3,False
Mtf1,-2.515208,-0.25366747,0.011896219022984987,0.03372854385570239,0.03211867139632377,0.04945286195286195,LHb,MTF1,False
St3gal2,-2.5165186,-0.3025274,0.011852060726698699,0.03360923601934633,0.028829409867784584,0.046085858585858584,LHb,ST3GAL2,False
Rfc2,-2.5225146,-0.034728844,0.011651908929652665,0.03305904699826905,0.03760077394388907,0.05534511784511784,LHb,RFC2,False
Rpf1,-2.523113,-0.7308146,0.011632102071736105,0.03300864052812833,0.013479522734601741,0.030513468013468013,LHb,RPF1,False
Mfsd6,-2.5234203,0.06964397,0.011621941992432052,0.032985596021685985,0.09119638826185102,0.11125140291806958,LHb,MFSD6,False
Trim26,-2.5243502,-0.28753057,0.011591241752001664,0.03290423575616478,0.027023540793292486,0.044332210998877665,LHb,TRIM26,False
Sh3gl1,-2.5259275,-0.178323,0.011539325143816545,0.032762609127827386,0.035020960980328926,0.05253928170594837,LHb,SH3GL1,False
Zfp598,-2.5263848,-0.23947753,0.01152431772402872,0.03272574423914405,0.04392131570461141,0.061447811447811446,LHb,ZFP598,False
