"bulk_gene_id","logFC","AveExpr","t","P.Value","adj.P.Val","B","Symbol","ensemblID","gene_type","Class","MGI_Symbol"
"ENSG00000144649.8",-0.132088470053739,4.4509338493295,-1.18828613794405,0.240611216626467,0.741314493034373,-5.04625701299724,"FAM198A","ENSG00000144649","protein_coding","InGen","FAM198A"
"ENSG00000164342.12",-0.161758391131227,1.87014427760579,-1.18813398833005,0.240670572977287,0.741323931187035,-5.04641499049574,"TLR3","ENSG00000164342","protein_coding","InGen","TLR3"
"ENSG00000059377.15",-0.184521083669897,2.69407422300421,-1.18811127659433,0.240679434154061,0.741323931187035,-5.04643857055023,"TBXAS1","ENSG00000059377","protein_coding","InGen","TBXAS1"
"ENSG00000187792.4",-0.0720182967071431,3.5366031272355,-1.18801741398326,0.240716057964614,0.741336393969787,-5.04653601725901,"ZNF70","ENSG00000187792","protein_coding","InGen","ZNF70"
"ENSG00000136944.17",0.861647845862281,-3.53786403472035,1.18767047346305,0.240851464205171,0.741583879719785,-5.04689614301403,"LMX1B","ENSG00000136944","protein_coding","InGen","LMX1B"
"ENSG00000224533.4",-0.460185626208282,-1.88277565733265,-1.18763291791185,0.240866124953274,0.741583879719785,-5.04693511993482,"TMLHE-AS1","ENSG00000224533","antisense","InGen","TMLHE-AS1"
"ENSG00000100348.9",-0.0536251248700313,4.73996089452394,-1.18756104675614,0.240894183463203,0.741583879719785,-5.04700970799184,"TXN2","ENSG00000100348","protein_coding","InGen","TXN2"
"ENSG00000263063.1",0.173400068720206,-0.994545097481793,1.18745446257833,0.240935798314652,0.741611663255542,-5.04712031353004,"RP11-388C12.1","ENSG00000263063","lincRNA","InGen","RP11-388C12.1"
"ENSG00000160803.7",-0.0559014830703918,5.39337300634419,-1.18719814348046,0.24103589722873,0.741704779416146,-5.04738626537228,"UBQLN4","ENSG00000160803","protein_coding","InGen","UBQLN4"
"ENSG00000008226.19",-0.315665590669665,2.39945810485615,-1.18716140122486,0.241050248459121,0.741704779416146,-5.04742438403862,"DLEC1","ENSG00000008226","protein_coding","InGen","DLEC1"
"ENSG00000267454.5",-0.0936721500640761,2.00663930755217,-1.18712662728292,0.241063831453762,0.741704779416146,-5.04746045963902,"ZNF582-AS1","ENSG00000267454","lincRNA","InGen","ZNF582-AS1"
"ENSG00000219200.11",-0.136929415529377,0.630791230079643,-1.18676175359428,0.241206387718765,0.742043065962989,-5.04783893166211,"RNASEK","ENSG00000219200","protein_coding","InGen","RNASEK"
"ENSG00000232150.3",0.23109520014386,-0.603847379579831,1.1863424256148,0.241370294910073,0.742446935789893,-5.04827375295668,"ST13P4","ENSG00000232150","processed_pseudogene","InGen","ST13P4"
"ENSG00000236778.7",0.108002257088114,1.93937389889451,1.18602297490813,0.241495216286202,0.742545396200696,-5.04860491021374,"INTS6-AS1","ENSG00000236778","antisense","InGen","INTS6-AS1"
"ENSG00000151093.7",0.0983074075058222,2.11636962278766,1.18589976445885,0.241543410345747,0.742545396200696,-5.04873261351472,"OXSM","ENSG00000151093","protein_coding","InGen","OXSM"
"ENSG00000261056.2",0.100006851868378,1.823761986952,1.18582287802966,0.241573488193837,0.742545396200696,-5.04881229730536,"RP11-454F8.2","ENSG00000261056","transcribed_processed_pseudogene","InGen","RP11-454F8.2"
"ENSG00000089558.8",0.294321593079338,-1.10816557840407,1.18579465643891,0.241584529117345,0.742545396200696,-5.04884154447012,"KCNH4","ENSG00000089558","protein_coding","InGen","KCNH4"
"ENSG00000115368.9",-0.053718859338426,5.0746414555916,-1.18567959401976,0.24162954792625,0.742545396200696,-5.04896078152115,"WDR75","ENSG00000115368","protein_coding","InGen","WDR75"
"ENSG00000160678.11",-0.0921908448811457,6.12926026046525,-1.18547994079839,0.241707677810119,0.742545396200696,-5.04916765275551,"S100A1","ENSG00000160678","protein_coding","InGen","S100A1"
"ENSG00000139835.13",-0.211765508990361,0.541245761505355,-1.18545289776732,0.241718261914162,0.742545396200696,-5.04919567095936,"GRTP1","ENSG00000139835","protein_coding","InGen","GRTP1"
"ENSG00000166847.9",-0.0418072825192972,7.34838392973275,-1.18524509563757,0.241799602759116,0.742545396200696,-5.04941094648384,"DCTN5","ENSG00000166847","protein_coding","InGen","DCTN5"
"ENSG00000128512.19",-0.0847573625529038,7.53899614255962,-1.18519420571324,0.24181952584113,0.742545396200696,-5.04946366122903,"DOCK4","ENSG00000128512","protein_coding","InGen","DOCK4"
