,,names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pheno,lfc,log_adj_pval,sign
si,89,Snhg11,-8.340557,-0.4154158,7.394162594627156e-17,1.3393293179734656e-14,0.8235690235690236,si,0.4154158,31.944022322225273,False
si,90,Atp5j,-8.331037,-0.7624534,8.013746461575725e-17,1.435605437545137e-14,0.24882154882154883,si,0.7624534,31.87460463398612,False
si,91,Cacnb3,-8.32411,-0.7492661,8.496458471878438e-17,1.4908447352495218e-14,0.24882154882154883,si,0.7492661,31.836848406197927,False
si,92,Uchl1,-8.323991,-0.83043444,8.505003090308275e-17,1.4908447352495218e-14,0.2138047138047138,si,0.83043444,31.836848406197927,False
si,93,Calm3,-8.320379,-0.7789087,8.768255599360195e-17,1.520639391284786e-14,0.2377104377104377,si,0.7789087,31.817060403346726,False
si,94,Rpl26,-8.313433,-0.6547947,9.297294212683328e-17,1.595415686896459e-14,0.42592592592592593,si,0.6547947,31.769056980891136,False
si,95,Uqcrq,-8.281214,-0.8027829,1.2192563485022703e-16,2.0704496868004178e-14,0.22592592592592592,si,0.8027829,31.50842547823235,False
si,96,Rpl34,-8.277291,-0.6824996,1.2600888836962577e-16,2.1177287610326177e-14,0.3393939393939394,si,0.6824996,31.48584712666226,False
si,97,Ywhae,-8.218796,-0.69150966,2.055572175078201e-16,3.4193813875637585e-14,0.3053872053872054,si,0.69150966,31.006731648032346,False
si,98,Mdh1,-8.215012,-0.71805453,2.1214420814348103e-16,3.493307960762654e-14,0.3084175084175084,si,0.71805453,30.98534217485869,False
si,99,Tspan13,-8.201549,-0.64546156,2.373101502374167e-16,3.868630069170367e-14,0.38181818181818183,si,0.64546156,30.88329084483772,False
si,100,Rpl22l1,-8.178817,-0.8639998,2.866438453301296e-16,4.626601947100765e-14,0.19124579124579125,si,0.8639998,30.704368623982727,False
si,101,Atp5a1,-8.176449,-0.8029831,2.9233195182249465e-16,4.672152430010106e-14,0.22053872053872053,si,0.8029831,30.69457143063653,False
si,102,Cplx1,-8.167061,-0.9186842,3.1599297657197234e-16,5.001279130171159e-14,0.18181818181818182,si,0.9186842,30.626497596166207,False
si,103,Ywhaz,-8.15979,-0.773901,3.3560630333679093e-16,5.260628804804198e-14,0.23737373737373738,si,0.773901,30.57594073767233,False
si,104,Rplp1,-8.14601,-0.6031986,3.7612890873375583e-16,5.839669971597797e-14,0.5316498316498316,si,0.6031986,30.471517018386056,False
si,105,Nsg2,-8.142775,-0.76795495,3.863198076712331e-16,5.911250357442301e-14,0.2515151515151515,si,0.76795495,30.459333926472553,False
si,106,Atp5j2,-8.142252,-0.83240473,3.8799152757105033e-16,5.911250357442301e-14,0.2053872053872054,si,0.83240473,30.459333926472553,False
si,107,App,-8.135095,-0.62708265,4.1161812669651047e-16,6.213146945746772e-14,0.463973063973064,si,0.62708265,30.40952377977938,False
si,108,Ndufb4,-8.102261,-0.9606414,5.394718168587144e-16,8.068320695808039e-14,0.16296296296296298,si,0.9606414,30.148245933506068,False
si,109,Rps3,-8.078855,-0.6719055,6.537796786971577e-16,9.689014838291877e-14,0.3387205387205387,si,0.6719055,29.96519854905743,False
si,110,Atp5h,-8.076413,-0.70574623,6.669952593555379e-16,9.795816863075656e-14,0.29494949494949496,si,0.70574623,29.954235858073375,False
si,111,Tspyl4,-8.058968,-0.9034751,7.694132910656573e-16,1.1199085241921737e-13,0.1744107744107744,si,0.9034751,29.820359201779578,False
si,112,Etv1,-8.036521,-0.67397314,9.242516969967995e-16,1.3333762092426396e-13,0.332996632996633,si,0.67397314,29.645891980055858,False
si,113,Rps13,-7.9859376,-0.70377606,1.3945820149012558e-15,1.994252281308796e-13,0.27744107744107743,si,0.70377606,29.243337025170913,False
si,114,Nr4a2,-7.9665337,-0.7861953,1.6318674061131022e-15,2.3132784743005036e-13,0.21481481481481482,si,0.7861953,29.0949404376325,False
si,115,Ndufs5,-7.9459395,-0.8361704,1.927246939373774e-15,2.708446517730281e-13,0.18754208754208754,si,0.8361704,28.937230979086177,False
si,116,Rpl27a,-7.941434,-0.6388643,1.9985688954054207e-15,2.7846726609315526e-13,0.41683501683501684,si,0.6388643,28.909475878921118,False
si,117,Ndufa2,-7.9148192,-0.9022585,2.476124381736847e-15,3.4208287856842443e-13,0.16835016835016836,si,0.9022585,28.703723352211068,False
si,118,Eif1,-7.90481,-0.65840024,2.683429617736909e-15,3.6760730780123607e-13,0.3552188552188552,si,0.65840024,28.63176112486278,False
si,119,Myl6,-7.8807554,-0.7838834,3.2540803355347524e-15,4.420668135823961e-13,0.21212121212121213,si,0.7838834,28.44731536230568,False
si,120,Eef2,-7.8675704,-0.78451973,3.615951086959764e-15,4.871672282613063e-13,0.21077441077441078,si,0.78451973,28.350168946250932,False
si,121,Rab3a,-7.8610144,-0.87948287,3.810356578965157e-15,5.0640066723035e-13,0.1717171717171717,si,0.87948287,28.31144820648611,False
